fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
721722,"Marco Antonio Ortiz Nava, Mexico",UTC,2021-07-23T02:00:00+00:00,1627005600,1627005600,1627009200,1084.0,Estadio La Corregidora,Santiago de Querétaro,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2290,Club Queretaro,https://media.api-sports.io/football/teams/2290.png,,2287,Club America,https://media.api-sports.io/football/teams/2287.png,,0,0,0,0,0,0,,,,
721723,"Jorge Antonio Perez Duran, Mexico",UTC,2021-07-24T00:00:00+00:00,1627084800,1627084800,1627088400,1080.0,Estadio Victoria de Aguascalientes,Aguascalientes,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,False,2285,Santos Laguna,https://media.api-sports.io/football/teams/2285.png,True,0,3,0,2,0,3,,,,
721724,"Jorge Isaac Rojas Castillo, Mexico",UTC,2021-07-24T02:00:00+00:00,1627092000,1627092000,1627095600,1845.0,Estadio Olímpico Benito Juárez,Ciudad Juárez,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,False,2281,Toluca,https://media.api-sports.io/football/teams/2281.png,True,1,3,1,1,1,3,,,,
721725,"Alejandro Funk Villafane, Mexico",UTC,2021-07-24T21:00:00+00:00,1627160400,1627160400,1627164000,1081.0,Estadio Hidalgo,Pachuca de Soto,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2292,Pachuca,https://media.api-sports.io/football/teams/2292.png,True,2289,Leon,https://media.api-sports.io/football/teams/2289.png,False,4,0,0,0,4,0,,,,
721726,"Eduardo Galvan Basulto, Mexico",UTC,2021-07-25T02:00:00+00:00,1627178400,1627178400,1627182000,1076.0,Estadio AKRON,Zapopan,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2278,Guadalajara Chivas,https://media.api-sports.io/football/teams/2278.png,False,2314,Atletico San Luis,https://media.api-sports.io/football/teams/2314.png,True,1,2,0,1,1,2,,,,
721727,"Luis Santander, Mexico",UTC,2021-07-25T17:00:00+00:00,1627232400,1627232400,1627236000,1083.0,Estadio Olímpico de Universitario,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,,2283,Atlas,https://media.api-sports.io/football/teams/2283.png,,0,0,0,0,0,0,,,,
721728,"Oscar Mejia Garcia, Mexico",UTC,2021-07-26T00:06:00+00:00,1627257960,1627257960,1627261560,11905.0,Estadio BBVA,Guadalupe,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2282,Monterrey,https://media.api-sports.io/football/teams/2282.png,,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,,1,1,0,0,1,1,,,,
721729,"Oscar Macias, Mexico",UTC,2021-07-26T02:06:00+00:00,1627265160,1627265160,1627268760,1088.0,Estadio Caliente,Tijuana,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,False,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,True,1,2,0,1,1,2,,,,
721730,"Diego Montano, Mexico",UTC,2021-07-27T01:00:00+00:00,1627347600,1627347600,1627351200,7182.0,Estadio Azteca,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 1,True,2295,Cruz Azul,https://media.api-sports.io/football/teams/2295.png,False,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,True,0,2,0,1,0,2,,,,
721731,"Edgar Ulises Rangel Araujo, Mexico",UTC,2021-07-31T00:00:00+00:00,1627689600,1627689600,1627693200,10546.0,Estadio de Mazatlán,Mazatlán,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 2,True,14002,Mazatlán,https://media.api-sports.io/football/teams/14002.png,True,2292,Pachuca,https://media.api-sports.io/football/teams/2292.png,False,2,1,1,1,2,1,,,,
721732,"Fernando Guerrero Ramirez, Mexico",UTC,2021-07-31T02:05:00+00:00,1627697100,1627697100,1627700700,1082.0,Estadio Cuauhtémoc,Puebla,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 2,True,2291,Puebla,https://media.api-sports.io/football/teams/2291.png,False,2278,Guadalajara Chivas,https://media.api-sports.io/football/teams/2278.png,True,0,2,0,0,0,2,,,,
721737,"Jorge Antonio Perez Duran, Mexico",UTC,2021-07-31T22:00:00+00:00,1627768800,1627768800,1627772400,,Estadio Leon,Leon,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 2,True,2289,Leon,https://media.api-sports.io/football/teams/2289.png,True,2280,Club Tijuana,https://media.api-sports.io/football/teams/2280.png,False,2,1,1,0,2,1,,,,
721733,"Fernando Hernandez, Mexico",UTC,2021-08-01T00:00:00+00:00,1627776000,1627776000,1627779600,7182.0,Estadio Azteca,D.F.,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 2,True,2287,Club America,https://media.api-sports.io/football/teams/2287.png,True,2288,Necaxa,https://media.api-sports.io/football/teams/2288.png,False,2,1,1,0,2,1,,,,
721734,"Adonai Escobedo Gonzalez, Mexico",UTC,2021-08-01T02:00:00+00:00,1627783200,1627783200,1627786800,11905.0,Estadio BBVA,Guadalupe,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 2,True,2282,Monterrey,https://media.api-sports.io/football/teams/2282.png,True,2286,U.N.A.M. - Pumas,https://media.api-sports.io/football/teams/2286.png,False,2,0,1,0,2,0,,,,
721735,"Oscar Mejia Garcia, Mexico",UTC,2021-08-01T02:05:00+00:00,1627783500,1627783500,1627787100,1071.0,Estadio Jalisco,Guadalajara,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 2,True,2283,Atlas,https://media.api-sports.io/football/teams/2283.png,True,2298,FC Juarez,https://media.api-sports.io/football/teams/2298.png,False,2,0,0,0,2,0,,,,
721736,"Victor Alfonso Caceres Hernandez, Mexico",UTC,2021-08-01T17:00:00+00:00,1627837200,1627837200,1627840800,1089.0,Estadio Nemesio Díez,Toluca de Lerdo,Match Finished,FT,90,,262,Liga MX,Mexico,https://media.api-sports.io/football/leagues/262.png,https://media.api-sports.io/flags/mx.svg,2021,Apertura - 2,True,2281,Toluca,https://media.api-sports.io/football/teams/2281.png,True,2279,Tigres UANL,https://media.api-sports.io/football/teams/2279.png,False,3,1,1,1,3,1,,,,
